"","id","group","sum","Froh_genome"
"1","1","BO",574711679,0.23918780402784
"2","1285","KI",183161436,0.076229496041659
"3","1287K","KI",115859174,0.0482191373833894
"4","1289K","KI",109262824,0.0454738191155505
"5","1290K","KI",133553551,0.055583315514648
"6","1306K","KI",303007542,0.126107944597474
"7","13238","KI",132916848,0.0553183276991003
"8","13239","BO",616870663,0.2567338452368
"9","13240","KI",103496855,0.0430740950215451
"10","13242","BO",615479224,0.256154745749162
"11","13243","BO",631359357,0.262763858246317
"12","13244","BO",560126904,0.233117803309288
"13","13245","KI",152694084,0.0635493656637566
"14","13247","KI",69873843,0.0290806184680928
"15","13267","MY",682526929,0.284059160971697
"16","13269","MY",607317482,0.252757930933394
"17","13270","MY",589601246,0.245384655360063
"18","13271","MY",623520391,0.259501378759818
"19","1368","KI",819826186,0.3412013924183
"20","192K","KI",102722923,0.0427519942146345
"21","2226","SP",56782633,0.0236322207995163
"22","2231","MY",291454486,0.121299707362312
"23","2232","MY",365188236,0.151986770788489
"24","2282","SP",137344454,0.0571610418720282
"25","2309","SP",215486201,0.089682658450885
"26","2310","SP",344846519,0.143520802900292
"27","2313","SP",113185523,0.047106397317728
"28","289","KI",165908233,0.0690489290046412
"29","2925","BO",624467634,0.259895609434658
"30","2927","BO",423176300,0.176120676875311
"31","2939","BO",414672352,0.172581440207585
"32","2940","BO",531659636,0.221270082846325
"33","2966","BO",564752854,0.235043065771272
"34","3002","BO",589249259,0.245238162778386
"35","3004","BO",609743655,0.253767673754475
"36","3295","BO",519642633,0.216268756679494
"37","3296","BO",527356105,0.21947900713468
"38","3297","SP",148294684,0.0617183904748217
"39","3298","SP",49661682,0.0206685701647432
"40","3299","SP",64445800,0.0268215349436415
"41","3302","SP",60540714,0.0251962870515069
"42","3305","SP",69398751,0.0288828911269869
"43","333","SP",193145639,0.0803847963040331
"44","339","SP",261425628,0.10880207269621
"45","3427","BO",481533729,0.200408308049795
"46","7966","MY",8294345,0.00345200252385908
"47","7974","MY",294790760,0.12268822282294
"48","7976","MY",227973602,0.0948797583748019
"49","7983","MY",862565703,0.358989044192192
"50","7984","MY",411384878,0.171213234695863
"51","7986","MY",416229609,0.173229551070383
"52","7990","MY",235472555,0.0980007287084811
"53","7997","BO",671684298,0.279546593725305
"54","8010","BO",505199990,0.210257909519508
"55","8011","BO",524611450,0.218336716093359
"56","8014","BO",617224463,0.256881092366373
"57","8016","BO",425345276,0.177023377525716
"58","8017","BO",508804061,0.211757878738074
"59","8022","SP",42091785,0.0175180738266535
"60","8024","SP",57345160,0.0238663374927258
"61","8036","SP",225960698,0.0940420129363995
"62","8040","SP",64123425,0.0266873665055515
"63","8044","SP",164185804,0.0683320756237934
"64","8050","SP",648767557,0.2700089330938
"65","8052","SP",57819656,0.0240638167860951
"66","8054","SP",60803503,0.0253056565425568
"67","M3","MY",699277931,0.291030718241279
"68","MD1","BO",752689315,0.313259867423138
"69","MD10","BO",352753359,0.146811530695645
"70","MD11","BO",396096746,0.164850505601632
"71","MD12","BO",471011432,0.196029059802851
"72","MD13","BO",641913632,0.267156415336419
"73","MD2","BO",599440460,0.249479613016248
"74","MD3","BO",900370363,0.374722870278958
"75","MD4","BO",616455668,0.256561129514535
"76","MD5","BO",516924579,0.215137536641265
"77","MD6","BO",649976986,0.270512282298641
"78","MD7","BO",652309110,0.271482883103641
"79","MD8","BO",487411935,0.202854743777723
"80","MD9","BO",568361465,0.236544924480986
